,ACCIDENT_NO,ACCIDENTDATE
50265,T20190016161,2019-08-24
50266,T20190016162,2019-07-26
50267,T20190016163,2019-08-25
50268,T20190016165,2019-08-25
50269,T20190016168,2019-08-25
50270,T20190016169,2019-08-25
50271,T20190016170,2019-08-25
50272,T20190016183,2019-08-26
50273,T20190016184,2019-08-26
50274,T20190016185,2019-08-26
50275,T20190016186,2019-08-07
50276,T20190016187,2019-08-25
50277,T20190016188,2019-08-25
50278,T20190016196,2019-08-23
50279,T20190016200,2019-08-21
50280,T20190016201,2019-08-14
50281,T20190016202,2019-08-23
50282,T20190016203,2019-08-26
50283,T20190016204,2019-08-25
50284,T20190016206,2019-08-21
50285,T20190016207,2019-08-22
50286,T20190016209,2019-08-26
50287,T20190016210,2019-08-26
50288,T20190016213,2019-08-15
50289,T20190016214,2019-08-26
50290,T20190016216,2019-08-26
50291,T20190016217,2019-08-19
50292,T20190016219,2019-08-26
50293,T20190016221,2019-08-12
50294,T20190016223,2019-08-24
50295,T20190016224,2019-08-26
50296,T20190016225,2019-08-15
50297,T20190016227,2019-08-14
50298,T20190016228,2019-06-22
50299,T20190016230,2019-08-24
50300,T20190016232,2019-08-26
50301,T20190016234,2019-08-26
50302,T20190016236,2019-08-26
50303,T20190016237,2019-08-21
50304,T20190016238,2019-08-26
50305,T20190016240,2019-08-23
50306,T20190016242,2019-08-09
50307,T20190016243,2019-08-26
50308,T20190016245,2019-08-16
50309,T20190016247,2019-08-26
50310,T20190016253,2019-08-25
50311,T20190016254,2019-08-26
50312,T20190016255,2019-08-26
50313,T20190016259,2019-04-18
50314,T20190016260,2019-08-26
50315,T20190016261,2019-08-26
50316,T20190016264,2019-08-27
50317,T20190016268,2019-08-17
50318,T20190016270,2019-08-06
50319,T20190016272,2019-08-27
50320,T20190016278,2019-08-27
50321,T20190016279,2019-08-27
50322,T20190016282,2019-07-25
50323,T20190016283,2019-08-26
50324,T20190016285,2019-08-27
50325,T20190016287,2019-06-06
50326,T20190016289,2019-08-27
50327,T20190016293,2019-08-27
50328,T20190016295,2019-07-23
50329,T20190016296,2019-08-24
50330,T20190016297,2019-01-30
50331,T20190016298,2019-08-27
50332,T20190016299,2019-08-27
50333,T20190016300,2019-08-27
50334,T20190016303,2019-08-27
50335,T20190016304,2019-08-27
50336,T20190016305,2019-08-24
50337,T20190016306,2019-06-29
50338,T20190016307,2019-08-27
50339,T20190016308,2019-08-27
50340,T20190016309,2019-08-23
50341,T20190016310,2019-08-11
50342,T20190016311,2019-08-27
50343,T20190016315,2019-08-27
50344,T20190016316,2019-08-27
50345,T20190016317,2019-08-27
50346,T20190016319,2019-08-27
50347,T20190016320,2019-08-27
50348,T20190016322,2019-05-05
50349,T20190016323,2019-08-27
50350,T20190016324,2019-08-27
50351,T20190016326,2019-08-27
50352,T20190016327,2019-08-27
50353,T20190016328,2019-08-26
50354,T20190016329,2019-08-27
50355,T20190016335,2019-08-27
50356,T20190016337,2019-08-21
50357,T20190016339,2019-08-27
50358,T20190016340,2019-08-19
50359,T20190016342,2019-08-27
50360,T20190016344,2019-08-27
50361,T20190016354,2019-08-21
50362,T20190016355,2019-08-28
50363,T20190016356,2019-08-27
50364,T20190016360,2019-08-28
50365,T20190016362,2019-08-28
50366,T20190016363,2019-08-28
50367,T20190016364,2019-08-13
50368,T20190016366,2019-08-22
50369,T20190016367,2019-08-28
50370,T20190016368,2019-08-15
50371,T20190016370,2019-08-28
50372,T20190016372,2019-06-01
50373,T20190016373,2019-08-28
50374,T20190016374,2019-08-22
50375,T20190016375,2019-08-28
50376,T20190016377,2019-08-28
50377,T20190016378,2019-08-28
50378,T20190016379,2019-08-28
50379,T20190016382,2019-08-27
50380,T20190016383,2019-08-21
50381,T20190016385,2019-08-27
50382,T20190016386,2019-08-28
50383,T20190016387,2019-08-28
50384,T20190016388,2019-04-06
50385,T20190016389,2019-08-28
50386,T20190016391,2019-08-28
50387,T20190016393,2019-07-22
50388,T20190016395,2019-08-28
50389,T20190016396,2019-08-28
50390,T20190016397,2019-08-24
50391,T20190016402,2019-08-28
50392,T20190016407,2019-06-27
50393,T20190016408,2019-08-28
50394,T20190016409,2019-08-28
50395,T20190016411,2019-08-28
50396,T20190016413,2019-08-28
50397,T20190016414,2019-08-26
50398,T20190016416,2019-08-28
50399,T20190016417,2019-07-27
50400,T20190016420,2019-08-28
50401,T20190016421,2019-08-28
50402,T20190016423,2019-08-25
50403,T20190016424,2019-08-22
50404,T20190016425,2019-08-28
50405,T20190016428,2019-08-28
50406,T20190016431,2019-08-28
50407,T20190016432,2019-08-28
50408,T20190016435,2019-08-28
50409,T20190016436,2019-08-28
50410,T20190016438,2019-08-28
50411,T20190016442,2019-08-29
50412,T20190016445,2019-08-28
50413,T20190016446,2019-08-29
50414,T20190016450,2019-08-16
50415,T20190016452,2019-08-29
50416,T20190016453,2019-08-29
50417,T20190016456,2019-08-27
50418,T20190016458,2019-08-29
50419,T20190016459,2019-08-28
50420,T20190016461,2019-08-29
50421,T20190016463,2019-08-27
50422,T20190016466,2019-08-25
50423,T20190016469,2019-08-29
50424,T20190016470,2019-08-29
50425,T20190016471,2019-08-29
50426,T20190016474,2019-08-29
50427,T20190016475,2019-08-22
50428,T20190016476,2019-08-28
50429,T20190016477,2019-08-28
50430,T20190016478,2019-08-27
50431,T20190016479,2019-08-25
50432,T20190016480,2019-08-29
50433,T20190016481,2019-08-29
50434,T20190016482,2019-08-29
50435,T20190016485,2019-08-29
50436,T20190016486,2018-09-15
50437,T20190016487,2019-07-19
50438,T20190016489,2019-08-29
50439,T20190016490,2019-08-29
50440,T20190016493,2019-08-29
50441,T20190016494,2019-08-29
50442,T20190016495,2019-08-16
50443,T20190016496,2019-07-25
50444,T20190016499,2019-08-29
50445,T20190016500,2019-08-29
50446,T20190016501,2019-08-29
50447,T20190016502,2019-08-27
50448,T20190016503,2019-08-29
50449,T20190016505,2019-08-16
50450,T20190016506,2019-08-28
50451,T20190016509,2019-08-29
50452,T20190016510,2019-08-29
50453,T20190016513,2019-08-20
50454,T20190016514,2019-08-29
50455,T20190016515,2019-08-28
50456,T20190016516,2019-05-03
50457,T20190016517,2019-07-16
50458,T20190016519,2019-08-29
50459,T20190016522,2019-08-29
50460,T20190016524,2019-08-29
50461,T20190016525,2019-08-29
50462,T20190016528,2019-08-29
50463,T20190016529,2019-08-26
50464,T20190016531,2019-08-29
50465,T20190016532,2019-08-29
50466,T20190016533,2019-08-30
50467,T20190016536,2019-08-30
50468,T20190016537,2019-08-23
50469,T20190016538,2019-08-09
50470,T20190016539,2019-08-30
50471,T20190016542,2019-08-28
50472,T20190016543,2019-08-30
50473,T20190016544,2019-08-10
50474,T20190016545,2019-08-21
50475,T20190016547,2019-06-28
50476,T20190016551,2019-08-30
50477,T20190016552,2019-08-29
50478,T20190016553,2019-08-30
50479,T20190016554,2019-08-30
50480,T20190016555,2019-08-30
50481,T20190016556,2019-08-27
50482,T20190016557,2019-08-27
50483,T20190016558,2019-08-23
50484,T20190016559,2019-08-30
50485,T20190016564,2019-08-29
50486,T20190016566,2019-08-22
50487,T20190016567,2019-08-30
50488,T20190016571,2019-08-30
50489,T20190016573,2019-08-30
50490,T20190016574,2019-08-30
50491,T20190016575,2019-08-28
50492,T20190016577,2019-08-25
50493,T20190016578,2019-08-16
50494,T20190016580,2019-08-29
50495,T20190016581,2019-08-28
50496,T20190016582,2019-08-29
50497,T20190016585,2019-05-05
50498,T20190016586,2019-08-15
50499,T20190016587,2019-07-21
50500,T20190016588,2019-08-30
50501,T20190016589,2019-08-30
50502,T20190016591,2019-08-30
50503,T20190016594,2019-08-30
50504,T20190016598,2019-08-30
50505,T20190016601,2019-08-30
50506,T20190016602,2019-08-30
50507,T20190016603,2019-08-30
50508,T20190016605,2019-08-30
50509,T20190016606,2019-08-30
50510,T20190016607,2019-08-25
50511,T20190016608,2019-08-30
50512,T20190016609,2019-08-30
50513,T20190016612,2019-08-25
50514,T20190016614,2019-08-30
50515,T20190016615,2019-08-30
50516,T20190016616,2018-12-20
50517,T20190016617,2019-08-17
50518,T20190016618,2019-08-30
50519,T20190016619,2019-08-30
50520,T20190016621,2019-08-30
50521,T20190016622,2019-08-30
50522,T20190016623,2019-08-30
50523,T20190016624,2019-08-30
50524,T20190016629,2019-08-30
50525,T20190016635,2019-08-30
50526,T20190016637,2019-08-31
50527,T20190016639,2019-08-30
50528,T20190016641,2019-08-31
50529,T20190016646,2019-08-31
50530,T20190016648,2019-08-31
50531,T20190016649,2019-08-29
50532,T20190016650,2019-08-28
50533,T20190016651,2019-08-30
50534,T20190016652,2019-08-28
50535,T20190016653,2019-08-31
50536,T20190016657,2019-08-30
50537,T20190016658,2019-08-28
50538,T20190016660,2019-08-31
50539,T20190016661,2019-08-31
50540,T20190016662,2019-08-31
50541,T20190016665,2019-08-31
50542,T20190016666,2019-08-09
50543,T20190016668,2019-08-31
50544,T20190016671,2019-08-31
50545,T20190016672,2019-08-31
50546,T20190016673,2018-08-03
50547,T20190016674,2019-08-31
50548,T20190016675,2019-08-31
50549,T20190016676,2019-08-30
50550,T20190016677,2019-08-31
50551,T20190016678,2019-08-31
50552,T20190016679,2019-06-18
50553,T20190016680,2019-08-31
50554,T20190016681,2019-08-31
50555,T20190016682,2019-08-31
50556,T20190016685,2019-08-31
50557,T20190016690,2019-08-31
50558,T20190016691,2019-08-31
50559,T20190016694,2019-08-31
50560,T20190016695,2019-08-31
50561,T20190016696,2019-07-05
50562,T20190016697,2019-08-31
50563,T20190016702,2019-08-31
50564,T20190016703,2019-08-31
50565,T20190016704,2019-08-31
50566,T20190016705,2019-08-31
50567,T20190016713,2019-08-31
50568,T20190016714,2019-08-31
50569,T20190016715,2019-08-31
50570,T20190016716,2019-08-31
50571,T20190016719,2019-08-31
50572,T20190016720,2019-08-31
50573,T20190016723,2019-08-31
50574,T20190016724,2019-08-31
50575,T20190016727,2019-08-31
50576,T20190016728,2019-08-31
50577,T20190016733,2019-08-31
50578,T20190016734,2019-09-01
50579,T20190016737,2019-09-01
50580,T20190016740,2019-08-31
50581,T20190016742,2019-08-29
50582,T20190016749,2019-09-01
50583,T20190016750,2019-09-01
50584,T20190016751,2019-07-28
50585,T20190016754,2019-09-01
50586,T20190016755,2019-09-01
50587,T20190016756,2019-09-01
50588,T20190016757,2019-09-01
50589,T20190016758,2019-09-01
50590,T20190016759,2019-09-01
50591,T20190016761,2019-09-01
50592,T20190016763,2019-09-01
50593,T20190016764,2019-08-30
50594,T20190016766,2019-09-01
50595,T20190016769,2019-09-01
50596,T20190016771,2019-08-29
50597,T20190016772,2019-09-01
50598,T20190016773,2019-09-01
50599,T20190016774,2019-08-19
50600,T20190016775,2019-09-01
50601,T20190016776,2019-09-01
50602,T20190016777,2019-09-01
50603,T20190016778,2019-09-01
50604,T20190016784,2019-09-01
50605,T20190016785,2019-09-01
50606,T20190016788,2019-09-02
50607,T20190016789,2019-08-28
50608,T20190016791,2019-09-02
50609,T20190016792,2019-09-01
50610,T20190016794,2019-09-02
50611,T20190016796,2019-09-02
50612,T20190016797,2019-08-31
50613,T20190016800,2019-09-02
50614,T20190016802,2017-08-06
50615,T20190016803,2019-08-29
50616,T20190016804,2019-09-02
50617,T20190016806,2019-09-02
50618,T20190016807,2019-09-02
50619,T20190016809,2019-09-02
50620,T20190016811,2019-08-28
50621,T20190016813,2019-09-02
50622,T20190016815,2019-09-02
50623,T20190016816,2019-09-02
50624,T20190016818,2019-09-01
50625,T20190016820,2019-09-02
50626,T20190016821,2019-09-02
50627,T20190016822,2019-09-02
50628,T20190016823,2019-08-18
50629,T20190016824,2019-09-02
50630,T20190016827,2019-09-02
50631,T20190016828,2019-08-27
50632,T20190016829,2019-09-01
50633,T20190016832,2019-09-02
50634,T20190016833,2019-09-02
50635,T20190016838,2019-09-02
50636,T20190016839,2019-09-02
50637,T20190016840,2019-08-01
50638,T20190016842,2019-08-31
50639,T20190016843,2019-09-02
50640,T20190016845,2019-08-30
50641,T20190016846,2019-09-02
50642,T20190016847,2019-08-28
50643,T20190016848,2019-05-22
50644,T20190016849,2019-09-02
50645,T20190016850,2019-07-26
50646,T20190016853,2019-08-31
50647,T20190016856,2019-09-02
50648,T20190016860,2019-09-03
50649,T20190016861,2019-08-30
50650,T20190016863,2019-09-02
50651,T20190016864,2019-09-03
50652,T20190016865,2019-09-02
50653,T20190016866,2019-09-03
50654,T20190016867,2019-08-19
50655,T20190016870,2019-09-03
50656,T20190016873,2019-09-03
50657,T20190016874,2019-09-02
50658,T20190016875,2019-09-03
50659,T20190016877,2019-09-02
50660,T20190016878,2019-09-03
50661,T20190016879,2017-10-05
50662,T20190016880,2019-08-23
50663,T20190016881,2019-08-28
50664,T20190016882,2019-09-03
50665,T20190016884,2019-09-03
50666,T20190016886,2019-09-03
50667,T20190016887,2019-09-03
50668,T20190016888,2019-09-03
50669,T20190016890,2019-09-03
50670,T20190016892,2019-09-02
50671,T20190016893,2019-09-02
50672,T20190016894,2019-08-02
50673,T20190016895,2019-09-03
50674,T20190016896,2019-09-03
50675,T20190016897,2019-08-26
50676,T20190016898,2019-09-03
50677,T20190016899,2019-08-29
50678,T20190016900,2019-08-31
50679,T20190016901,2019-08-19
50680,T20190016903,2019-09-03
50681,T20190016904,2019-09-03
50682,T20190016906,2019-09-03
50683,T20190016908,2019-09-03
50684,T20190016909,2019-09-03
50685,T20190016910,2019-06-27
50686,T20190016911,2019-09-03
50687,T20190016912,2019-09-03
50688,T20190016913,2019-09-03
50689,T20190016915,2019-09-03
50690,T20190016916,2019-09-02
50691,T20190016917,2019-09-03
50692,T20190016918,2019-09-03
50693,T20190016919,2019-08-31
50694,T20190016920,2018-08-08
50695,T20190016921,2019-09-03
50696,T20190016925,2019-08-30
50697,T20190016926,2019-09-02
50698,T20190016929,2019-09-03
50699,T20190016930,2019-09-03
50700,T20190016931,2019-09-03
50701,T20190016932,2019-09-03
50702,T20190016933,2019-09-03
50703,T20190016935,2019-09-03
50704,T20190016937,2019-09-03
50705,T20190016939,2019-09-03
50706,T20190016940,2019-09-03
50707,T20190016941,2019-08-07
50708,T20190016943,2019-09-03
50709,T20190016944,2019-07-25
50710,T20190016945,2019-09-03
50711,T20190016950,2019-09-04
50712,T20190016952,2019-09-03
50713,T20190016953,2019-08-31
50714,T20190016954,2019-09-04
50715,T20190016955,2019-08-26
50716,T20190016956,2019-09-04
50717,T20190016957,2019-09-04
50718,T20190016958,2019-08-31
50719,T20190016960,2019-09-03
50720,T20190016961,2019-09-03
50721,T20190016962,2019-09-04
50722,T20190016965,2019-09-04
50723,T20190016966,2019-08-15
50724,T20190016967,2019-09-04
50725,T20190016968,2019-08-17
50726,T20190016970,2019-08-23
50727,T20190016971,2019-09-04
50728,T20190016975,2019-07-29
50729,T20190016976,2019-08-28
50730,T20190016979,2019-09-04
50731,T20190016981,2019-09-04
50732,T20190016983,2019-09-04
50733,T20190016984,2019-08-31
50734,T20190016985,2019-09-03
50735,T20190016986,2019-09-02
50736,T20190016988,2019-04-09
50737,T20190016989,2019-08-02
50738,T20190016992,2019-08-20
50739,T20190016993,2019-08-29
50740,T20190016994,2019-09-04
50741,T20190016995,2019-09-03
50742,T20190016997,2019-09-04
50743,T20190016998,2019-09-04
50744,T20190017000,2019-09-04
50745,T20190017003,2019-09-04
50746,T20190017004,2019-09-04
50747,T20190017005,2019-08-02
50748,T20190017006,2019-06-25
50749,T20190017007,2019-08-18
50750,T20190017008,2019-09-04
50751,T20190017010,2019-08-24
50752,T20190017013,2019-09-04
50753,T20190017015,2019-09-04
50754,T20190017016,2019-09-04
50755,T20190017018,2019-08-21
50756,T20190017021,2019-09-04
50757,T20190017022,2019-09-03
50758,T20190017023,2019-09-04
50759,T20190017024,2019-09-04
50760,T20190017025,2019-09-04
50761,T20190017030,2019-09-04
50762,T20190017031,2019-09-04
50763,T20190017035,2019-09-05
50764,T20190017036,2019-09-04
50765,T20190017040,2019-09-04
50766,T20190017041,2019-08-31
50767,T20190017043,2019-09-04
50768,T20190017044,2019-09-04
50769,T20190017045,2019-09-05
50770,T20190017046,2019-09-05
50771,T20190017047,2019-09-05
50772,T20190017048,2019-09-04
50773,T20190017051,2019-09-05
50774,T20190017052,2019-09-05
50775,T20190017054,2019-09-05
50776,T20190017055,2019-08-30
50777,T20190017056,2019-08-24
50778,T20190017058,2019-07-30
50779,T20190017061,2019-09-05
50780,T20190017062,2019-09-05
50781,T20190017063,2019-09-05
50782,T20190017066,2019-09-05
50783,T20190017070,2019-09-04
50784,T20190017071,2019-08-25
50785,T20190017073,2019-09-04
50786,T20190017075,2019-01-09
50787,T20190017079,2019-08-26
50788,T20190017080,2019-09-05
50789,T20190017081,2019-09-05
50790,T20190017083,2019-09-05
50791,T20190017084,2019-09-05
50792,T20190017086,2019-09-05
50793,T20190017090,2019-09-05
50794,T20190017091,2019-09-05
50795,T20190017092,2019-09-05
50796,T20190017095,2019-08-13
50797,T20190017099,2019-09-05
50798,T20190017100,2019-09-03
50799,T20190017101,2019-09-04
50800,T20190017104,2019-08-28
50801,T20190017106,2019-09-05
50802,T20190017107,2019-09-05
50803,T20190017108,2019-09-05
50804,T20190017109,2019-08-24
50805,T20190017110,2019-09-05
50806,T20190017112,2019-09-05
50807,T20190017115,2019-09-05
50808,T20190017116,2019-09-05
50809,T20190017119,2019-09-05
50810,T20190017121,2019-09-05
50811,T20190017122,2019-09-05
50812,T20190017123,2019-09-05
50813,T20190017126,2019-09-05
50814,T20190017127,2019-09-03
50815,T20190017129,2019-08-27
50816,T20190017131,2019-08-01
50817,T20190017134,2019-07-31
50818,T20190017136,2019-09-06
50819,T20190017137,2019-06-12
50820,T20190017138,2019-06-17
50821,T20190017140,2019-08-28
50822,T20190017142,2019-09-06
50823,T20190017145,2019-09-05
50824,T20190017146,2019-09-06
50825,T20190017147,2019-09-06
50826,T20190017150,2019-09-06
50827,T20190017151,2019-09-06
50828,T20190017153,2019-09-04
50829,T20190017154,2019-07-26
50830,T20190017156,2019-09-03
50831,T20190017157,2019-08-13
50832,T20190017158,2019-08-31
50833,T20190017164,2019-09-06
50834,T20190017167,2019-09-05
50835,T20190017169,2019-01-21
50836,T20190017170,2019-09-05
50837,T20190017173,2019-09-06
50838,T20190017175,2019-09-06
50839,T20190017176,2019-08-22
50840,T20190017177,2019-09-06
50841,T20190017179,2019-09-06
50842,T20190017180,2019-09-05
50843,T20190017181,2019-09-06
50844,T20190017183,2019-08-29
50845,T20190017184,2019-09-06
50846,T20190017185,2019-09-06
50847,T20190017188,2019-09-02
50848,T20190017189,2019-08-09
50849,T20190017190,2019-09-05
50850,T20190017191,2019-09-06
50851,T20190017192,2019-09-06
50852,T20190017193,2019-09-06
50853,T20190017195,2019-09-06
50854,T20190017196,2019-09-06
50855,T20190017197,2019-09-02
50856,T20190017200,2019-09-06
50857,T20190017204,2019-09-06
50858,T20190017205,2019-09-06
50859,T20190017210,2019-09-06
50860,T20190017213,2019-09-06
50861,T20190017215,2019-09-06
50862,T20190017220,2019-09-06
50863,T20190017221,2019-08-27
50864,T20190017228,2019-09-07
50865,T20190017230,2019-09-06
50866,T20190017231,2019-09-07
50867,T20190017233,2019-09-07
50868,T20190017234,2019-09-07
50869,T20190017237,2019-09-02
50870,T20190017239,2019-09-07
50871,T20190017240,2019-09-07
50872,T20190017241,2019-09-07
50873,T20190017242,2019-07-25
50874,T20190017243,2019-09-06
50875,T20190017244,2019-07-12
50876,T20190017245,2019-09-07
50877,T20190017246,2019-09-07
50878,T20190017247,2019-09-07
50879,T20190017249,2019-09-07
50880,T20190017250,2019-08-30
50881,T20190017251,2019-09-07
50882,T20190017255,2019-09-07
50883,T20190017258,2019-05-10
50884,T20190017260,2019-09-07
50885,T20190017261,2019-09-07
50886,T20190017262,2019-09-07
50887,T20190017263,2019-09-07
50888,T20190017269,2019-09-07
50889,T20190017270,2019-09-07
50890,T20190017271,2019-09-07
50891,T20190017272,2019-09-07
50892,T20190017274,2018-03-01
50893,T20190017275,2019-09-06
50894,T20190017278,2019-09-07
50895,T20190017279,2019-09-07
50896,T20190017280,2019-09-06
50897,T20190017283,2019-09-07
50898,T20190017285,2019-09-07
50899,T20190017287,2019-09-07
50900,T20190017288,2019-09-07
50901,T20190017291,2019-09-07
50902,T20190017292,2019-09-07
50903,T20190017293,2019-09-07
50904,T20190017295,2019-09-07
50905,T20190017298,2019-08-26
50906,T20190017299,2019-09-08
50907,T20190017301,2019-09-08
50908,T20190017302,2019-09-08
50909,T20190017303,2019-09-04
50910,T20190017307,2019-09-08
50911,T20190017311,2019-08-30
50912,T20190017313,2019-08-23
50913,T20190017314,2019-09-07
50914,T20190017315,2019-07-13
50915,T20190017317,2019-09-08
50916,T20190017319,2019-09-08
50917,T20190017320,2019-09-08
50918,T20190017322,2019-09-08
50919,T20190017323,2019-09-08
50920,T20190017325,2019-09-08
50921,T20190017326,2019-08-08
50922,T20190017327,2019-09-08
50923,T20190017328,2019-09-08
50924,T20190017330,2019-09-05
50925,T20190017331,2019-09-08
50926,T20190017332,2019-09-08
50927,T20190017333,2019-09-08
50928,T20190017334,2019-08-23
50929,T20190017337,2019-09-08
50930,T20190017338,2019-09-08
50931,T20190017342,2019-09-08
50932,T20190017346,2019-09-08
50933,T20190017347,2019-08-16
50934,T20190017348,2019-09-08
50935,T20190017350,2019-09-08
50936,T20190017351,2019-09-06
50937,T20190017352,2019-09-08
50938,T20190017358,2019-09-09
50939,T20190017360,2019-09-09
50940,T20190017364,2019-09-08
50941,T20190017365,2019-09-08
50942,T20190017368,2019-08-26
50943,T20190017370,2019-08-05
50944,T20190017372,2019-04-11
50945,T20190017374,2019-09-09
50946,T20190017376,2019-09-09
50947,T20190017379,2019-09-03
50948,T20190017380,2019-08-16
50949,T20190017383,2019-06-30
50950,T20190017385,2019-09-09
50951,T20190017386,2019-09-09
50952,T20190017387,2019-08-30
50953,T20190017388,2019-09-09
50954,T20190017390,2019-09-05
50955,T20190017391,2019-09-09
50956,T20190017393,2019-09-09
50957,T20190017394,2019-09-06
50958,T20190017399,2019-09-09
50959,T20190017400,2019-09-09
50960,T20190017402,2017-07-03
50961,T20190017404,2019-09-09
50962,T20190017406,2019-09-05
50963,T20190017408,2019-09-09
50964,T20190017409,2019-09-09
50965,T20190017410,2019-08-16
50966,T20190017411,2019-09-09
50967,T20190017412,2019-09-09
50968,T20190017413,2019-09-08
50969,T20190017415,2019-05-29
50970,T20190017418,2019-07-29
50971,T20190017426,2019-09-10
50972,T20190017427,2019-08-24
50973,T20190017429,2019-05-10
50974,T20190017431,2019-09-09
50975,T20190017433,2019-09-10
50976,T20190017437,2019-09-10
50977,T20190017441,2019-09-10
50978,T20190017442,2019-09-10
50979,T20190017445,2019-09-10
50980,T20190017446,2019-09-10
50981,T20190017447,2019-09-03
50982,T20190017448,2019-08-24
50983,T20190017451,2019-09-09
50984,T20190017453,2019-09-10
50985,T20190017454,2019-09-10
50986,T20190017458,2019-09-10
50987,T20190017459,2019-09-10
50988,T20190017461,2019-09-10
50989,T20190017462,2019-08-09
50990,T20190017468,2019-07-19
50991,T20190017469,2019-07-22
50992,T20190017470,2019-09-10
50993,T20190017471,2019-09-07
50994,T20190017473,2019-09-10
50995,T20190017474,2019-09-10
50996,T20190017475,2019-08-22
50997,T20190017477,2019-08-28
50998,T20190017478,2019-09-10
50999,T20190017479,2019-09-03
51000,T20190017481,2019-09-09
51001,T20190017483,2019-09-06
51002,T20190017484,2019-09-10
51003,T20190017485,2019-09-02
51004,T20190017488,2019-09-10
51005,T20190017489,2019-09-09
51006,T20190017491,2019-09-10
51007,T20190017494,2019-09-10
51008,T20190017496,2019-09-10
51009,T20190017497,2019-09-10
51010,T20190017500,2019-09-10
51011,T20190017501,2019-09-10
51012,T20190017502,2019-09-10
51013,T20190017503,2019-08-28
51014,T20190017505,2019-09-11
51015,T20190017507,2019-09-03
51016,T20190017509,2019-09-11
51017,T20190017510,2019-08-01
51018,T20190017513,2019-09-06
51019,T20190017514,2019-09-10
51020,T20190017515,2019-09-11
51021,T20190017516,2019-09-11
51022,T20190017518,2019-09-10
51023,T20190017523,2019-09-11
51024,T20190017525,2019-05-05
51025,T20190017528,2019-09-11
51026,T20190017529,2019-08-09
51027,T20190017530,2019-09-11
51028,T20190017531,2019-09-06
51029,T20190017532,2019-09-11
51030,T20190017534,2019-09-11
51031,T20190017535,2017-11-10
51032,T20190017536,2019-08-14
51033,T20190017537,2019-09-11
51034,T20190017539,2019-09-09
51035,T20190017543,2019-09-11
51036,T20190017544,2019-09-10
51037,T20190017546,2019-09-11
51038,T20190017551,2019-09-11
51039,T20190017552,2019-09-11
51040,T20190017553,2019-08-29
51041,T20190017555,2019-09-11
51042,T20190017556,2019-09-11
51043,T20190017557,2019-09-11
51044,T20190017560,2019-09-11
51045,T20190017562,2019-09-11
51046,T20190017563,2019-09-09
51047,T20190017564,2019-09-11
51048,T20190017565,2019-09-03
51049,T20190017566,2019-09-11
51050,T20190017567,2019-09-11
51051,T20190017568,2019-09-03
51052,T20190017569,2019-08-12
51053,T20190017571,2019-09-11
51054,T20190017573,2019-09-11
51055,T20190017576,2019-09-11
51056,T20190017577,2019-09-10
51057,T20190017578,2019-09-11
51058,T20190017580,2019-09-10
51059,T20190017581,2019-09-11
51060,T20190017582,2019-09-10
51061,T20190017583,2019-09-11
51062,T20190017584,2019-09-10
51063,T20190017585,2019-09-11
51064,T20190017587,2019-09-04
51065,T20190017589,2019-09-11
51066,T20190017590,2019-09-11
51067,T20190017591,2019-09-11
51068,T20190017593,2019-09-11
51069,T20190017594,2019-09-11
51070,T20190017596,2019-09-11
51071,T20190017597,2019-09-11
51072,T20190017601,2019-09-11
51073,T20190017602,2019-09-11
51074,T20190017605,2019-09-11
51075,T20190017607,2019-03-11
51076,T20190017608,2019-09-11
51077,T20190017610,2019-09-11
51078,T20190017612,2019-09-11
51079,T20190017613,2019-09-11
51080,T20190017614,2019-09-10
51081,T20190017617,2019-09-12
51082,T20190017618,2019-09-11
51083,T20190017619,2019-09-11
51084,T20190017621,2019-09-11
51085,T20190017623,2019-09-10
51086,T20190017624,2019-09-12
51087,T20190017625,2019-09-12
51088,T20190017626,2019-08-31
51089,T20190017629,2019-09-11
51090,T20190017631,2019-09-12
51091,T20190017632,2019-09-12
51092,T20190017635,2019-09-12
51093,T20190017637,2019-08-06
51094,T20190017640,2019-09-12
51095,T20190017643,2019-09-11
51096,T20190017644,2019-09-12
51097,T20190017645,2019-07-04
51098,T20190017646,2019-09-12
51099,T20190017647,2019-09-12
51100,T20190017649,2019-09-12
51101,T20190017651,2019-09-12
51102,T20190017652,2019-09-07
51103,T20190017653,2019-09-12
51104,T20190017655,2019-08-21
51105,T20190017656,2019-09-12
51106,T20190017659,2019-09-12
51107,T20190017660,2019-09-12
51108,T20190017661,2019-09-11
51109,T20190017664,2019-07-03
51110,T20190017665,2019-09-12
51111,T20190017666,2019-09-12
51112,T20190017668,2019-09-12
51113,T20190017669,2019-09-12
51114,T20190017676,2019-09-12
51115,T20190017677,2019-09-12
51116,T20190017678,2019-09-12
51117,T20190017682,2019-09-11
51118,T20190017686,2019-09-12
51119,T20190017687,2019-09-12
51120,T20190017688,2019-09-12
51121,T20190017693,2019-09-12
51122,T20190017695,2019-09-12
51123,T20190017696,2019-09-12
51124,T20190017698,2019-09-12
51125,T20190017700,2019-09-11
51126,T20190017703,2019-06-20
51127,T20190017704,2019-09-12
51128,T20190017705,2019-08-16
51129,T20190017707,2019-08-26
51130,T20190017709,2019-09-13
51131,T20190017711,2019-09-07
51132,T20190017712,2019-09-13
51133,T20190017715,2019-09-13
51134,T20190017717,2019-09-13
51135,T20190017719,2019-08-28
51136,T20190017720,2019-09-12
51137,T20190017722,2019-09-12
